CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wraccessVolume,Load_1min,Load_5min,Load_15min,Mem_Avail,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_inVolume,Traffic_outVolume,Class
3.8333,3.8333,3,3.8333,3,2072981.91,27.3994,0.1067,0.1883,0.2383,6364887040,8643044011,19.1667,6.1667,48,0,1038049.105,936318.2258,TWM
3,4,2,4,2,2068487.38,26.0012,0.17,0.1867,0.2333,6362048512,8642170197,13.0667,5.8333,26.3333,0,1110132.105,946731.5966,TWM
4,4,3,4,3,2101248,33,0.315,0.225,0.24,6370320384,8652415659,24.6,7.3333,55.3333,0,1113004,936362,TWM
3.6667,3.8333,2.8333,3.8333,2.8333,2195042.71,26.5994,0.2083,0.2117,0.235,6374509227,8658574677,16.9333,8,36.1667,0,1137551,946781,TWM
3.3333,3.8333,2.5,3.8333,2.5,2077483.82,29.4985,0.095,0.1767,0.2217,6370080768,8656122539,16.5,7.1667,38.1667,0,1166063.949,944408.0619,TWM
3,4,2,4,2,2096340.18,28.5015,0.1217,0.1667,0.2117,6368747520,8656754005,17.6333,7.1667,38.6667,0,1054405.616,938569.3415,TWM
3,4,2,4,2,2064387.69,26.0006,0.0667,0.14,0.1983,6367156224,8657136981,13.5667,4.8333,35.1667,0,1087265.441,946690.965,TWM
3.3333,3.8333,2.5,3.8333,2.5,2338816,52.1,0.0217,0.1117,0.1817,6364446720,8656403797,17.3333,7.6667,41.1667,0,1168507.628,936174.7224,TWM
3.6667,4,2.6667,4,2.6667,1945950.735,27.2904,0.13,0.1217,0.18,6361393152,8655324501,18.2667,7.1667,38.8333,0,1144949.866,947080.4093,TWM
3,3.8333,2.1667,3.8333,2.1667,2082465.265,29.4096,0.2433,0.1567,0.1883,6359758848,8655660373,12.5,6.8333,25.1667,0,1130140,936315,TWM
3.6667,4,2.6667,4,2.6667,2611609.6,75.8,0.5283,0.25,0.215,6353792341,8651671552,13.7667,6.3333,34.1667,0,1081158.102,946582.3238,TWM
3.5,4,2.5,4,2.5,1830092.8,32.2,0.3667,0.2567,0.2183,6346278912,8646149461,14.5667,7.6667,27.3333,0,1064738.898,936390.6762,TWM
3,4,2,4,2,2126643.2,37,0.3067,0.2583,0.22,6344128512,8645963093,13.5,6,27.1667,0,1172401.952,946652.3589,TWM
3,4,2,4,2,2065203.2,28,0.3083,0.2633,0.2217,6354711893,8658515968,23.3,8.5,55.1667,0,1126959.417,946766.965,TWM
3.3333,4,2.3333,4,2.3333,2101657.6,32,0.51,0.3217,0.245,6356370773,8662145024,12.7667,5.8333,29.3333,0,1053425.074,936315.035,TWM
3.8333,4,2.8333,4,2.8333,2266582.487,31.6979,0.435,0.3417,0.255,6352588800,8660340053,12.9333,5.3333,32.5,0,1111404.624,946805.9199,TWM
3.8333,4,2.8333,4,2.8333,1946362.619,31.6006,0.2867,0.3133,0.2533,6348976128,8658687317,19,6.3333,56.5,0,1083577.433,910069.2212,TWM
3.3333,4,2.3333,4,2.3333,2197411.748,54.6997,0.3583,0.325,0.26,6342126251,8653832875,12.2667,5.6667,30.1667,0,1124938,957139,TWM
3.6667,4,2.6667,4,2.6667,1550625.057,29.2012,0.3783,0.3367,0.27,6340179968,8653871787,13.8667,5.6667,33.5,0,1193046.778,946601.3544,TWM
3.6667,3.6667,3,3.6667,3,2089373.29,31.4006,0.2567,0.3083,0.2683,6338502656,8654175573,12.1,5.3333,20.6667,0,1118321.222,936371.6456,TWM
2.8333,3.1667,2.6667,3.1667,2.6667,2117624.62,31.9988,0.1917,0.285,0.2617,6336486059,8654127787,12.3667,5.3333,29.3333,0,1103032.624,946636.3544,TWM
2.3333,3.3333,2,3.3333,2,2076679.38,30.0012,0.165,0.25,0.25,6333929472,8653555029,14.7333,6.8333,35.3333,0,1153080.098,946694.965,TWM
3,4,2,4,2,2273272.62,37.9988,0.2517,0.26,0.2517,6332037120,8653627392,10.9333,6.3333,18.5,0,1071600.907,936210.0701,TWM
3.1667,3.8333,2.3333,3.8333,2.3333,2446914.406,32.0893,0.1233,0.2233,0.2417,6328897536,8652454571,22.8333,6.5,57.1667,0,1085719.679,946728.179,TWM
3,4,2,4,2,1822753.534,33.3101,0.3633,0.2717,0.2567,6327951360,8653482667,21.4667,8.3333,44,0,1118493.896,941404.0132,TWM
3.1667,3.6667,2.5,3.6667,2.5,2123376.24,32.0018,0.3283,0.275,0.26,6326403072,8653910016,10.4,5.5,18.6667,0,1132922.545,941463.8078,TWM
3,4,2,4,2,2080755.7,29.9982,0.47,0.3233,0.2767,6324424704,8653911381,12.2333,6.8333,24,0,1130758.252,925808.6106,TWM
2.6667,3.6667,2,3.6667,2,2095116.3,51.7018,0.42,0.3383,0.2817,6321973248,8653430101,12.9333,7.3333,22.5,0,1080189.765,946552.6316,TWM
2.8333,3.8333,2,3.8333,2,2083332.613,30.2982,0.3467,0.33,0.28,6319908864,8653350912,10.9,5.8333,21.8333,0,1138533.235,941571.3684,TWM
2.3333,3.3333,2,3.3333,2,2097557.91,30,0.2133,0.2933,0.27,6317543424,8652959744,13.0333,6.6667,21.8333,0,1132135.858,946551.3684,TWM
2.8333,3.6667,2.1667,3.6667,2.1667,2089784.12,30,0.1083,0.25,0.2567,6315393024,8652771328,12.0333,6.5,23.1667,0,1055285.037,936245.035,TWM
2.8333,3.5,2.3333,3.5,2.3333,2078611.757,30.0018,0.2117,0.2517,0.2583,6313328640,8652681216,15.2333,7.1667,35.6667,0,1039142.595,946692.965,TWM
4,4,3,4,3,1459397.42,35.5988,0.2183,0.2467,0.255,6311608320,8652936533,11.4667,5.5,25.1667,0,1090944.995,946860.4555,TWM
2.8333,3.8333,2,3.8333,2,2232320,34,0.135,0.215,0.245,6309414912,8652726272,15.3333,5.1667,46.5,0,1095352.476,946691.035,TWM
3,3.5,2.5,3.5,2.5,2109037.78,32.6012,0.455,0.2817,0.2633,6307694592,8652980224,16.7333,6.3333,37.6667,0,1122957.83,936244.965,TWM
2,3,2,3,2,2130322.22,35.3988,0.3417,0.285,0.2667,6301850283,8649114283,12.5,5.3333,28.8333,0,1135954.71,946766.6762,TWM
2.3333,3.3333,2,3.3333,2,2154503.38,36.0012,0.2317,0.2617,0.26,6307535531,8656784725,12.5667,6,30.5,0,1085212.5,946728,TWM
2.3333,3.3333,2,3.3333,2,2310144,57,0.335,0.2867,0.2683,6305555115,8656804523,13.7667,5,31.8333,0,1094834.5,936175,TWM
3,4,2,4,2,2150392.62,31.9988,0.4117,0.3133,0.28,6300471296,8653686101,11.0667,5.8333,23.3333,0,1110096.43,946697.2788,TWM
3.3333,4,2.3333,4,2.3333,2195053.78,34.6012,0.2933,0.305,0.275,6295339008,8650536277,8.4,5.3333,14.5,0,1073701.07,920377.2212,TWM
3,4,2,4,2,2535833.6,84.4,0.14,0.255,0.2583,6289071445,8646261419,12.8667,5.8333,26.6667,0,1125127.1,946531.5684,TWM
2.8333,3.8333,2,3.8333,2,2120908.8,32.8,0.0683,0.21,0.245,6284627968,8643809963,11.9333,5.6667,24,0,1102907.9,946780.4316,TWM
3,3.8333,2.1667,3.8333,2.1667,2150363.025,39.9928,0.0233,0.1717,0.2267,6297487360,8658639531,14.3,7,27.3333,0,1121111.209,946566.3544,TWM
3.3333,4,2.3333,4,2.3333,2110296.175,31.2072,0.2117,0.1833,0.225,6294778539,8657911808,21.0667,8.3333,42.3333,0,1086107.035,936175.035,TWM
4,4,3,4,3,2108202.59,31.3982,0.4283,0.2617,0.25,6289926827,8655030272,16.6667,7,31.8333,0,1088443.036,915246.6006,TWM
3.8333,4,2.8333,4,2.8333,2104533.41,30.6018,0.26,0.2383,0.2417,6286123008,8653202091,12.5333,5.3333,30,0,1143799.433,951812.6693,TWM
2.3333,3.3333,2,3.3333,2,1672802.71,29.5994,0.1717,0.2167,0.235,6281523883,8650580651,17.3333,6.1667,36.8333,0,1005035.287,946803.3407,TWM
3.6667,4,2.6667,4,2.6667,2317930.09,56.2006,0.2667,0.2283,0.2367,6277869568,8648918357,14.6667,6.1667,37.1667,0,1128968,946631,TWM
3.5,3.8333,2.6667,3.8333,2.6667,2114355.2,31.2,0.2167,0.225,0.235,6272708608,8645746688,11.2333,6,23.3333,0,1102853.5,936210,TWM
2.8333,3.8333,2,3.8333,2,2215936,30,0.1333,0.1967,0.2233,6269785429,8644801877,14.4,7.6667,30,0,1086195.924,946627.4034,TWM
3,4,2,4,2,2080750.814,31.9972,0.2033,0.205,0.2233,6266003456,8643005099,17.7667,5.5,43,0,1131808.987,936174.965,TWM
3,4,2,4,2,2117649.186,32.0028,0.27,0.2267,0.2267,6262562816,8641531904,12.4333,6.1667,27.6667,0,1115456.4,946825.4905,TWM
4,4.5,3,4.5,3,2101240.62,31.9988,0.2383,0.2183,0.2217,6260498432,8641430869,11.8333,5.8333,25.8333,0,1045329.682,946690.965,TWM
3.1667,4,2.1667,4,2.1667,2101255.38,32.0012,0.28,0.235,0.2267,6267336704,8650245461,9.1333,6.1667,13.3333,0,1206269.16,946623.035,TWM
3.3333,4,2.3333,4,2.3333,2088952.62,27.9988,0.2483,0.2333,0.2267,6274859008,8659747499,16.1,6,37.5,0,1151566.846,941576.6411,TWM
3.8333,4.5,2.6667,4.5,2.6667,2085675.82,26.0991,0.2967,0.2467,0.23,6270733653,8657601877,11.9333,5.8333,25.3333,0,1115543,941398,TWM
3.3333,3.5,2.8333,3.5,2.8333,1876937.128,28.2961,0.1233,0.2083,0.215,6267465728,8656306859,12.9333,6.6667,23.1667,0,1107705.744,946617.3589,TWM
4,4,3,4,3,2381771.244,51.1033,0.0983,0.1833,0.205,6259163136,8649980587,13.9,6.5,25.6667,0,1156474.852,907020.7047,TWM
3.6667,4.6667,2.1667,4.6667,2.1667,2137730.691,28.9009,0.2,0.1917,0.205,6255386624,8648176299,11.0667,5.5,23.6667,0,1066846.794,954713.8048,TWM
2.6667,3.6667,2,3.6667,2,1524007.207,29.2012,0.2233,0.2017,0.205,6251859968,8646628011,12.2667,6.1667,24.3333,0,1074735.11,941551.6316,TWM
3,3.6667,2.3333,3.6667,2.3333,2097557.91,31.3994,0.115,0.1717,0.1883,6248636416,8645373269,13.3667,7,26.3333,0,1088796,941488,TWM
3,4,2,4,2,2125801.771,29.6952,0.1417,0.1667,0.1833,6246875136,8645586944,14.6333,6.8333,32.1667,0,1101105.313,946617.4034,TWM
3.3333,4,2.3333,4,2.3333,2129949.61,34.306,0.2617,0.195,0.1883,6244638720,8645314560,16.8,5.3333,50.8333,0,1073531.687,936283.5966,TWM
3,4,2,4,2,2080346.112,27.598,0.4517,0.2583,0.2083,6243391488,8646045013,11.9333,6.1667,22.3333,0,1135889.455,946617.3684,TWM
3,4,2,4,2,2195853.312,30.398,0.8117,0.3983,0.2617,6241069056,8645683883,12.1,5.8333,21.6667,0,1074087.546,936248.6316,TWM
3,4,2,4,2,2084881.196,29.0028,0.6983,0.4467,0.2867,6238488576,8645078357,22.5,10.3333,58,0,1074725.5,946932.5,TWM
3.8333,4,2.8333,4,2.8333,2109447.38,29.0012,0.495,0.4367,0.29,6247755776,8656317781,20.3,15.6667,29.5,0,1176166.503,946512.3589,TWM
3.6667,4,2.6667,4,2.6667,2314638.53,54.9988,0.485,0.4467,0.3,6246464171,8657006592,12.7,5.8333,31.6667,0,1120370.497,936353.6411,TWM
4,4.8333,2.8333,4.8333,2.8333,2148363.07,33.6012,0.2183,0.3783,0.2833,6240433493,8652952235,18.4,12,27.1667,0,1192370.067,946583.2878,TWM
3,4,2,4,2,1897783.813,27.7982,0.135,0.3183,0.2683,6231451648,8645951488,19,8.6667,37,0,1156355.933,946740.7122,TWM
3,4,2,4,2,2519342.587,80.0018,0.2833,0.3267,0.2733,6228778325,8645255168,28.8333,12.6667,51.3333,0,1083796,941468,TWM
3.6667,4.6667,2,4.6667,2,2105041.413,29.9982,0.3183,0.3267,0.2767,6230712320,8649165483,26.4333,17.6667,41.6667,0,1155168.788,941324.506,TWM
3.5,4.1667,2.3333,4.1667,2.3333,2156550.15,41.6006,0.29,0.315,0.2733,6228263595,8648688981,10.1667,5.6667,18.1667,0,1068243.643,915231.6987,TWM
3,4,2,4,2,2180597.237,32.0012,0.3733,0.335,0.2783,6221172736,8643566251,12.3,6.1667,19.5,0,1180160.569,951984.2953,TWM
3.3333,4.3333,2,4.3333,2,1463083.82,29.9988,0.2817,0.3167,0.2733,6218377216,8642745685,15.5333,6.3333,37,0,1151898.5,946656,TWM
2.6667,3.6667,2,3.6667,2,2113543.38,32.0012,0.2583,0.305,0.2717,6215797419,8642124459,13.7333,5.8333,30.1667,0,1135403.026,946601.3544,TWM
3.3333,3.8333,2.5,3.8333,2.5,2121728,32,0.3683,0.325,0.2767,6213521408,8641836373,17.5333,8,41.3333,0,1082598.583,936210,TWM
3.8333,4,2.8333,4,2.8333,2322018.71,56.5994,0.535,0.3833,0.3,6224820224,8655108779,16.8333,6.1667,44.3333,0,1151845.322,920570.1401,TWM
3.6667,3.8333,2.8333,3.8333,2.8333,2005809.97,31.6997,0.43,0.38,0.3017,6227050496,8659219115,14.5,5.6667,31.3333,0,1162384.069,921223.5055,TWM
2.8333,3.8333,2,3.8333,2,2205266.744,31.6969,0.3167,0.355,0.295,6222837077,8656965632,14.4333,5.3333,31,0,1071222,936245,TWM
2.8333,3.8333,2,3.8333,2,2118055.106,31.1019,0.2767,0.335,0.29,6215315456,8651416235,16.9667,5.8333,38.1667,0,1130143,930909,TWM
2.6667,3.6667,2,3.6667,2,2100030.27,33.7021,0.2167,0.3017,0.2767,6210115584,8648187904,13.3333,6.3333,32.3333,0,1136715.368,946617.3684,TWM
2.8333,3.8333,2,3.8333,2,2135244.8,35.3,0.19,0.2817,0.2717,6206160896,8646211584,22.9,10.1667,40.1667,0,1030958.624,936103.5856,TWM
2.3333,3.3333,2,3.3333,2,2097512.448,31.993,0.27,0.2867,0.2717,6204527957,8646542677,12.8333,8.1667,20.6667,0,1173667.316,946764.4144,TWM
3.3333,4,2.3333,4,2.3333,2101282.392,32.0049,0.2067,0.2633,0.265,6201133056,8645120683,15.0667,5.8333,34.6667,0,1166840.966,946621.035,TWM
