CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wraccessVolume,Load_1min,Load_5min,Load_15min,Mem_Avail,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_inVolume,Traffic_outVolume,Class
1.6667,1,2,1.6667,1,2138261.693,33.0046,0.1717,0.0683,0.0783,80547157.33,7802275157,10.2,7.5,15,0,923584.2107,931925.1634,TSK
3.1667,6,1.6667,2.1667,3,126151.8799,14.9996,0.1033,0.2467,0.3517,7006058496,7886143488,13,7.8333,24.1667,0,913957.6344,921673.1055,TVM
2,1,1,1,6.3333,76595.2,9.2,0.0083,0.0467,0.2,6959925248,7879720960,8.2,7,10.3333,0,913267.5874,921781.4459,TVM
26,2,100,0.3333,1,2125824,32,1.055,1.035,1.1,80627712,2692618240,10.4,7.8333,15.1667,0,913060.8,921489.2,WSK
26,1,92.1667,8.8333,1,2107379.7,32.998,1,1.0033,1.07,1190878549,4027490304,8.8667,7.8333,9.8333,0,912201.6276,921497.2252,WSK
1,1,1,1,1,2163507.2,33,0,0,0.0217,73266517.33,7849389397,8.6333,7.8333,10,0,912972.2462,921627.3874,TWM
2.5,1.3333,5.3333,1,2.8333,104847.7598,12.1982,0.035,0.105,0.1617,6988408832,7883487232,10.2333,7.3333,18.5,0,923363.731,931806.158,TVM
2.1667,1.3333,2.3333,1,5.5,102400,11,0.0817,0.1783,0.3967,7007004672,7886865749,11.5667,7.5,21.3333,0,913107.4675,921715.1391,TVM
1,1,1,1,1,2144501.432,34.7976,0,0,0,1786384384,7851941888,8.6333,7.6667,10.6667,0,913843.6276,921621.3874,TWM
1,1,1,1,1,1744137.482,35.4004,0,0.0283,0.09,3261442048,7850884437,10.0333,7.8333,16.6667,0,922933.0122,931786.3367,TWM
2.8333,1,1,3.5,5.3333,81510.4,10.5,0.1033,0.4067,0.45,6976688128,7878565205,8.1667,7.1667,9.6667,0,913427.8,921578.2,TVM
26,1,1,100,0,2141190.135,34.5115,1.0283,1.0117,1.0633,130949802.7,3289141931,9.0333,7.8333,10.3333,0,912560.6258,921506.2312,WSK
1,1,1,1,1,13518.03,2.3003,0.0217,0.0567,0.1283,7109651115,7926945109,10.4,7.6667,17.6667,0,922878.5288,931807.0937,NTS
2,1,2,2,1,1961012.276,32.6997,0.11,0.065,0.0917,70344704,7805493931,9.0667,7.5,12.1667,0,923048.227,931956.5682,TSK
2.1667,5,2,2.3333,0.1667,119178.8248,15.6982,0.0567,0.15,0.31,6965620736,7877637461,9.3,7.5,13.6667,0,914492.2242,922517.4802,TVM
26,1,1.6667,100,1,16384,3,1,1.02,1.0917,74509653.33,2495401301,10.8667,7.3333,16.8333,0,902603.0617,911141.5988,WSK
1,1,1,1,1,16384,3,0.025,0.0067,0.0017,7117094912,7932086955,8.8667,7.8333,10.5,0,931516.3874,940986.0721,NTS
1,1.1667,1,1,1.5,1762145.121,32.2002,0.05,0.0333,0.08,406682965.3,7801036800,10.1667,8,15.3333,0,913288.3033,921692.7748,TSK
2.3333,1,3.8333,1,4,140892.5794,17.5984,0.175,0.175,0.22,6995615744,7883324075,10.3667,7.3333,16.1667,0,921564.3394,929841.9267,TVM
1,1,1,1,0.3333,16384,3,0,0.0233,0.075,7068766208,7925787307,8.9333,7.1667,10.8333,0,921610.2973,930698.0721,NTS
1,1,1,1,1,2119148.059,32.7986,0.0583,0.02,0.02,1797855232,7851810816,8.3,7.8333,9.5,0,922784.1862,931877.2012,TWM
1.8333,1,1.8333,2,1,2151224.12,37,0.07,0.1867,0.225,75528192,7803084117,8.9667,7.8333,11.5,0,913104.5,921640,TSK
1,1,1,1,1,2277753.209,30.5986,0,0,0,5627607040,7886257493,10.2333,7.6667,17.3333,0,913062.3352,921525.2567,TWM
1,1,1,1,1,2059296.66,29.4036,0.0067,0.115,0.145,1836635477,7853916843,9.1,7.5,12.8333,0,923113,931850.6126,TWM
1,1,1,1,1,2090310.082,34.3884,0,0,0.005,2815363072,7853122901,8.7667,7.5,11.3333,0,922869.8448,931926.2097,TWM
26,1.1667,97.8333,3.1667,1,2130320.99,34.3986,1.065,1.12,1.155,70942720,1651774123,10.5,8,16.3333,0,921259.4,929818.8,WSK
3,3.1667,1.3333,4.8333,1.8333,129030.1502,14.6006,0.0283,0.0733,0.1867,6975504384,7878710613,8.3667,7.1667,10.5,0,924670.1973,931858.9342,TVM
1,1,1,1,1,13923.9399,2.5996,0.0133,0.0333,0.0967,6976194560,7888676864,11.2,8,18.1667,0,912113,921472,NTS
1,1,1,1,1,2025062.4,29.4,0,0,0.0417,1599772672,7852878507,8.4333,7.6667,9.1667,0,916723.0751,924695.003,TWM
1,1,1,1,1,2187228.739,34.999,0,0,0.045,1809018880,7851405995,9.4333,7.6667,11.8333,0,923182.5417,931872.5547,TWM
1,1,1,1,0.5,2109448.2,34.6016,0,0,0.0067,5299863552,7850110976,11.1667,7.8333,18,0,872102,880640.5,TWM
